time,SOI,FQ,Load
7387.44,-4,49.4,287.0709112
7387.52,-4,49.4,287.1247702
7387.6,-4,49.4,287.4775492
7387.68,-4,49.4,287.5423047
7387.76,-4,49.4,287.6018277
7387.84,-4,49.4,287.3710311
7387.92,-4,49.4,291.0596708
7388,-4,49.4,291.7089537
7388.08,-4,49.4,291.3736975
7388.16,-4,49.4,291.3790658
7388.24,-4,49.4,291.6590237
7388.32,-4,49.4,291.6515124
7388.4,-4,49.4,291.6517835
7388.48,-4,49.4,291.6451184
7388.56,-4,49.4,291.639537
7388.64,-4,49.4,291.6404543
7388.72,-4,49.4,291.6327528
7388.8,-4,49.4,291.6254122
7388.88,-4,49.4,291.6282204
7388.96,-4,49.4,291.6215232
7389.04,-4,49.4,291.6092382
7389.12,-4,49.4,291.3103653
7389.2,-4,49.4,291.6066229
